as_of_date,target_date,acute_load_7,chronic_load_28,atl_ctl_ratio,days_since_last_hard,streak_length,trained_today,trained_hard_today,trained_days_2,trained_both_days_2,trained_days_7,trained_days_30,moving_time_acute_7,moving_time_chronic_28,today_relative_effort,dow_train_rate,month_train_rate,day_of_week,trained_last_weekend,month,season,days_since_last_long_ride,forecast_temp_high,forecast_temp_low,forecast_precip_probability,forecast_rain_expected,forecast_wind_speed,forecast_temp_high_vs_seasonal,forecast_temp_low_vs_seasonal,forecast_precip_probability_vs_seasonal,forecast_wind_speed_vs_seasonal,forecast_precip_morning,forecast_precip_midday,forecast_precip_evening,will_train_tomorrow,next_day_relative_effort
2024-10-06,2024-10-07,9.697168350219727,26.268030930047324,0.3691623622662704,8,0,0,0,1.0,0,1.0,4.0,523.6971187591553,1548.0746055998884,0.0,0.0,0.16666666666666666,0,True,10,3,999,23.3,7.0,0.0,0,9.5,6.311074918566774,-1.1566775244299663,-26.397937024972858,-2.674592833876222,0.0,0.0,0.0,0,0.0
2024-10-07,2024-10-08,7.272876262664795,24.45644259004406,0.2973807918256067,9,0,0,0,0.0,0,1.0,4.0,392.77283906936646,1441.3108396964478,0.0,0.0,0.14285714285714285,1,True,10,3,999,19.9,11.6,29.166666666666668,1,14.7,3.152768729641693,3.6237785016286646,2.75515743756786,2.4944625407166097,25.0,14.285714285714285,40.0,0,0.0
2024-10-08,2024-10-09,5.454657196998596,22.769791376937572,0.23955674897062765,10,0,0,0,0.0,0,1.0,4.0,294.57962930202484,1341.9100921311756,0.0,0.0,0.125,2,True,10,3,999,17.1,10.0,25.0,1,10.9,0.6218241042345269,2.175895765472313,-1.8322475570032566,-1.3114006514657959,25.0,0.0,0.0,0,0.0
2024-10-09,2024-10-10,4.090992897748947,21.199460937148775,0.1929762700041167,11,0,0,0,0.0,0,1.0,4.0,220.93472197651863,1249.364568535922,0.0,0.5,0.1111111111111111,3,True,10,3,999,16.0,7.7,0.0,0,9.6,-0.196416938110751,0.027361563517915855,-27.117263843648207,-2.644299674267101,0.0,0.0,0.0,1,111.0
2024-10-10,2024-10-11,30.81824467331171,27.392601562172995,1.1250572386621815,0,1,1,1,1.0,0,2.0,5.0,1325.451041482389,1483.132529326548,111.0,0.5,0.2,4,True,10,3,999,15.1,5.0,0.0,0,5.1,-0.865146579804561,-2.5221498371335507,-27.673724212812157,-7.243648208469056,0.0,0.0,0.0,1,250.0
2024-10-11,2024-10-12,85.61368350498378,42.744835937195546,2.002901207312502,0,2,1,1,2.0,1,3.0,6.0,7794.088281111792,3256.709596269545,250.0,1.0,0.2727272727272727,5,True,10,3,0,20.4,6.4,0.0,0,9.5,4.608794788273613,-0.9716612377850158,-27.86373507057546,-2.8732899022801295,0.0,0.0,0.0,0,0.0
2024-10-12,2024-10-13,64.21026262873784,39.796916217388954,1.6134481947795156,1,0,0,0,1.0,0,2.0,6.0,5845.566210833844,3032.108934457852,0.0,0.0,0.25,6,True,10,3,1,21.3,7.4,0.0,0,12.0,5.705537459283388,0.17687296416938114,-28.148751357220412,-0.41237785016286566,0.0,0.0,0.0,0,0.0
2024-10-13,2024-10-14,48.15769697155338,37.052301305844885,1.2997221569057211,2,0,0,0,0.0,0,2.0,6.0,4384.174658125383,2822.9979734607587,0.0,0.0,0.23076923076923078,0,True,10,3,2,19.8,10.5,37.5,1,11.3,4.374918566775245,3.3892508143322475,8.93051031487514,-1.2221498371335482,0.0,14.285714285714285,100.0,0,0.0
2024-10-14,2024-10-15,36.11827272866503,34.49697018130386,1.046998404174053,3,0,0,0,0.0,0,2.0,6.0,3288.130993594037,2628.3084580496716,0.0,0.0,0.21428571428571427,1,False,10,3,3,12.5,10.2,70.83333333333334,1,10.9,-2.7514657980456043,3.236482084690553,42.16883821932683,-1.7224755700325733,75.0,57.14285714285714,60.0,0,0.0
2024-10-15,2024-10-16,27.088704546498775,32.1178687894898,0.8434153811402094,4,0,0,0,0.0,0,2.0,6.0,2466.098245195528,2447.0458057703836,0.0,0.0,0.2,2,False,10,3,4,12.6,8.0,70.83333333333334,1,13.9,-2.4576547231270354,1.1807817589576546,42.06026058631923,1.2563517915309461,50.0,100.0,40.0,0,0.0
2024-10-16,2024-10-17,20.31652840987408,29.90284335573188,0.6794179459185021,5,0,0,0,0.0,0,2.0,6.0,1849.573683896646,2278.284026062081,0.0,0.6666666666666666,0.1875,3,False,10,3,5,11.0,6.8,70.83333333333334,1,14.9,-3.9058631921824123,0.1228013029315953,41.815960912052134,2.22671009771987,100.0,100.0,60.0,1,3.0
2024-10-17,2024-10-18,15.987396307405561,28.047474848440025,0.5700119669879931,6,1,1,0,1.0,0,2.0,7.0,1893.4302629224844,2260.8161621957306,3.0,0.6666666666666666,0.23529411764705882,4,False,10,3,6,11.4,6.7,25.0,1,16.2,-3.3719869706840395,0.13257328990228068,-4.071661237785015,3.492182410423455,0.0,42.857142857142854,40.0,0,0.0
2024-10-18,2024-10-19,11.99054723055417,26.11316623820278,0.4591763067403278,7,0,0,0,1.0,0,1.0,7.0,1420.0726971918634,2104.8978061822318,0.0,0.6666666666666666,0.2222222222222222,5,False,10,3,7,15.6,10.0,75.0,1,21.1,1.0133550488599354,3.5426710097719862,45.67046688382193,8.326384364820848,50.0,71.42857142857143,100.0,1,279.0
2024-10-19,2024-10-20,78.74291042291563,43.55363753211982,1.8079525588383867,0,1,1,1,1.0,0,2.0,8.0,6662.804522893897,3503.939336790354,279.0,0.0,0.2631578947368421,6,False,10,3,8,19.8,10.6,41.66666666666667,1,19.6,5.395439739413678,4.286644951140064,12.690010857763308,6.826058631921827,0.0,14.285714285714285,60.0,0,0.0
